seq_number,image_name,beam_index
1,image_BS1_1_16_58_42.jpg,43
2,image_BS1_2_16_58_42.jpg,43
3,image_BS1_3_16_58_42.jpg,43
4,image_BS1_4_16_58_42.jpg,43
5,image_BS1_5_16_58_42.jpg,39
6,image_BS1_6_16_58_42.jpg,39
7,image_BS1_7_16_58_42.jpg,39
8,image_BS1_8_16_58_43.jpg,39
9,image_BS1_9_16_58_43.jpg,39
10,image_BS1_10_16_58_43.jpg,39
11,image_BS1_11_16_58_43.jpg,39
12,image_BS1_12_16_58_43.jpg,39
13,image_BS1_13_16_58_43.jpg,39
14,image_BS1_14_16_58_43.jpg,39
15,image_BS1_15_16_58_43.jpg,39
16,image_BS1_16_16_58_44.jpg,39
17,image_BS1_17_16_58_44.jpg,39
18,image_BS1_18_16_58_44.jpg,39
19,image_BS1_19_16_58_44.jpg,39
20,image_BS1_20_16_58_44.jpg,39
21,image_BS1_21_16_58_44.jpg,39
22,image_BS1_22_16_58_44.jpg,39
23,image_BS1_23_16_58_45.jpg,39
24,image_BS1_24_16_58_45.jpg,39
25,image_BS1_25_16_58_45.jpg,38
26,image_BS1_26_16_58_45.jpg,38
27,image_BS1_27_16_58_45.jpg,38
28,image_BS1_28_16_58_45.jpg,39
29,image_BS1_29_16_58_45.jpg,38
30,image_BS1_30_16_58_45.jpg,38
31,image_BS1_31_16_58_46.jpg,37
32,image_BS1_32_16_58_46.jpg,37
33,image_BS1_33_16_58_46.jpg,37
34,image_BS1_34_16_58_46.jpg,37
35,image_BS1_35_16_58_46.jpg,37
36,image_BS1_36_16_58_46.jpg,37
37,image_BS1_37_16_58_46.jpg,37
38,image_BS1_38_16_58_46.jpg,37
39,image_BS1_39_16_58_47.jpg,37
40,image_BS1_40_16_58_47.jpg,37
41,image_BS1_41_16_58_47.jpg,37
42,image_BS1_42_16_58_47.jpg,37
43,image_BS1_43_16_58_47.jpg,37
44,image_BS1_44_16_58_47.jpg,36
45,image_BS1_45_16_58_47.jpg,34
46,image_BS1_46_16_58_47.jpg,34
47,image_BS1_47_16_58_48.jpg,34
48,image_BS1_48_16_58_48.jpg,34
49,image_BS1_49_16_58_48.jpg,34
50,image_BS1_50_16_58_48.jpg,34
51,image_BS1_51_16_58_48.jpg,34
52,image_BS1_52_16_58_48.jpg,34
53,image_BS1_53_16_58_48.jpg,34
54,image_BS1_54_16_58_49.jpg,34
55,image_BS1_55_16_58_49.jpg,34
56,image_BS1_56_16_58_49.jpg,34
57,image_BS1_57_16_58_49.jpg,34
58,image_BS1_58_16_58_49.jpg,34
59,image_BS1_59_16_58_49.jpg,34
60,image_BS1_60_16_58_49.jpg,34
61,image_BS1_61_16_58_49.jpg,34
62,image_BS1_62_16_58_50.jpg,34
63,image_BS1_63_16_58_50.jpg,34
64,image_BS1_64_16_58_50.jpg,34
65,image_BS1_65_16_58_50.jpg,34
66,image_BS1_66_16_58_50.jpg,34
67,image_BS1_67_16_58_50.jpg,34
68,image_BS1_68_16_58_50.jpg,34
69,image_BS1_69_16_58_50.jpg,34
70,image_BS1_70_16_58_51.jpg,36
71,image_BS1_71_16_58_51.jpg,37
72,image_BS1_72_16_58_51.jpg,37
73,image_BS1_73_16_58_51.jpg,37
74,image_BS1_74_16_58_51.jpg,37
75,image_BS1_75_16_58_51.jpg,37
